"gender","Grade","LxclScor","FlldScor","cnfgrtnLR","cnfgrtnUD","RdcNoMuti","RdcNodub","trspT","trspV","SRngA","SRngH","PType_Onset","PType_Rime","PType_Tone","PType_None","PType_Mark","PType_1of3","PType_2of3","PType_3of3","MMCScor","MMPScor","MMFScor","COnstScor","CRimScor","CTnScor","POnstScor","PRimScor","PTnScor","DD","stud_ids"
"0","5",45,46,15,23,19,19,20,18,11,27,24,17,18,4,3,11,12,8,38,0,1,4,3,2,2,2,2,"Normal",11190423
"1","5",46,50,10,16,10,16,14,12,5,21,14,10,16,3,3,7,6,7,26,0,2,13,11,8,9,8,7,"Normal",11190424
"1","5",42,47,5,15,9,11,12,8,4,16,12,8,10,1,2,8,5,4,20,2,4,12,8,12,6,7,9,"Normal",11190425
"0","5",43,48,10,19,14,15,19,10,6,23,13,12,14,4,4,8,8,5,29,1,1,10,3,7,9,2,7,"Normal",11190426
"0","5",48,50,12,19,14,17,15,16,5,26,20,14,15,4,2,9,8,8,31,0,2,10,6,12,10,3,10,"Normal",11190427
"1","5",48,50,8,11,9,10,7,12,5,14,14,10,12,1,1,5,5,7,19,0,5,16,18,6,11,9,10,"Normal",11190428
"0","5",48,50,6,20,15,11,13,13,5,21,16,11,16,2,2,8,7,7,26,3,5,11,10,12,10,6,9,"Normal",11190429
"1","5",45,50,14,24,18,20,19,19,11,27,22,18,18,4,5,10,9,10,38,2,1,2,5,3,0,2,2,"Normal",11190430
"0","5",40,43,1,2,2,1,2,1,2,1,2,1,1,1,0,1,0,1,3,1,2,21,13,3,16,7,2,"Normal",11190431
"1","5",39,48,8,11,9,10,10,9,5,14,12,8,10,2,1,6,6,4,19,1,2,16,7,13,8,3,9,"Normal",11190432
"0","5",46,50,13,23,16,20,20,16,9,27,21,16,20,3,4,9,12,8,36,1,2,4,5,5,4,3,3,"Normal",11190433
"0","5",47,49,14,25,19,20,20,19,10,29,22,18,18,5,4,11,10,9,39,0,3,6,6,3,7,5,2,"Normal",11190434
"1","5",46,50,16,25,19,22,21,20,10,31,24,20,21,3,5,11,12,10,41,1,0,3,0,3,3,0,1,"Normal",11190435
"0","5",47,49,2,4,4,2,5,1,1,5,3,2,3,2,1,0,1,2,6,1,2,26,15,7,20,10,10,"Normal",11190436
"1","5",35,42,6,11,7,10,9,8,5,12,9,9,11,0,3,5,3,6,17,0,2,12,7,14,7,5,7,"Normal",11190437
"1","5",49,50,14,23,18,19,17,20,9,28,24,17,19,3,5,9,9,11,37,5,3,4,5,4,1,3,1,"Normal",11190438
"0","5",47,50,11,22,14,19,18,15,7,26,22,17,19,1,3,9,11,9,33,0,2,8,3,11,3,2,7,"Normal",11190439
"0","5",46,48,7,11,12,6,10,8,4,14,10,8,12,1,4,3,3,7,18,3,4,10,9,12,7,5,9,"Normal",11190440
"1","5",41,46,7,18,13,12,13,12,6,19,14,11,12,1,5,6,8,5,25,0,1,7,5,10,5,4,8,"Normal",11190441
"0","5",50,50,10,11,12,9,8,13,7,14,14,12,13,3,0,5,5,8,21,0,5,23,18,6,17,11,7,"Normal",11190442
"1","5",50,50,16,23,19,20,20,19,11,28,24,18,22,4,4,9,11,11,39,1,0,5,5,6,2,4,4,"Normal",11190443
